,trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
25,20241216,000035.SZ,中国天楹,环境保护,江苏,26.83,24.26,25.01,293.66,55.22,26.0,81.75,3.27,0.15,4.34,1.2,19940408,35.52,1.42,13.71,11.64,33.01,8.98,39221
26,20241216,000036.SZ,华联控股,全国地产,深圳,142.03,14.81,14.84,76.94,50.98,7.2,2.32,0.16,0.03,3.42,1.4,19940617,30.57,2.06,-19.93,-25.72,43.29,13.68,40496
27,20241216,000037.SZ,深南电A,火力发电,深圳,0.0,3.39,6.03,20.34,9.88,5.64,3.63,0.6,-0.08,2.35,3.93,19940701,1.18,0.2,-18.3,-58.66,6.44,-13.5,50966
28,20241216,000039.SZ,中集集团,运输设备,深圳,17.63,23.01,53.93,1808.54,1078.8,397.39,43.29,0.8,0.34,8.67,0.92,19940408,325.17,6.03,35.58,268.87,11.84,2.11,80898
29,20241216,000040.SZ,ST旭蓝,新型电力,深圳,0.0,10.6,14.87,230.36,108.31,48.3,106.76,7.18,-0.09,7.38,0.19,19940808,-14.15,-0.95,-47.68,-379.65,34.82,-16.53,70339
30,20241216,000042.SZ,中洲控股,全国地产,深圳,0.0,6.64,6.65,308.2,255.26,8.83,19.32,2.91,-0.78,7.85,0.71,19940921,20.65,3.11,-11.15,-388.99,31.84,-13.95,17317
31,20241216,000045.SZ,深纺织Ａ,元器件,深圳,57.1,4.57,5.07,55.27,30.75,19.27,19.62,3.87,0.16,5.78,2.05,19940815,2.62,0.52,8.83,18.5,16.32,4.84,29415
32,20241216,000048.SZ,京基智农,区域地产,深圳,11.85,5.23,5.31,111.15,29.28,56.12,1.54,0.29,1.16,7.8,2.3,19941101,34.32,6.47,-53.72,-52.16,29.43,13.44,14203
33,20241216,000049.SZ,德赛电池,电气设备,深圳,31.29,3.84,3.85,169.58,113.26,37.2,19.26,5.01,0.57,16.63,1.44,19950320,38.97,10.13,7.76,-39.0,9.57,0.97,67520
34,20241216,000050.SZ,深天马Ａ,元器件,深圳,0.0,24.58,24.58,802.63,210.92,458.62,262.35,10.67,-0.19,11.18,0.83,19950315,-13.43,-0.55,-2.78,73.6,13.35,-1.98,78703
35,20241216,000055.SZ,方大集团,其他建材,深圳,23.62,6.76,10.74,135.52,63.45,7.42,0.03,0.0,0.14,5.63,0.78,19960415,48.36,4.5,-0.31,-43.81,18.05,4.71,48064
36,20241216,000056.SZ,皇庭国际,其他商业,深圳,0.0,9.04,12.1,86.46,8.77,1.02,17.8,1.47,-0.23,0.61,5.87,19960708,-18.9,-1.56,-48.41,48.84,59.88,-51.19,51394
37,20241216,000058.SZ,深 赛 格,商品城,深圳,230.81,9.85,12.31,50.71,30.89,3.61,1.66,0.13,0.03,1.63,5.85,19961226,4.21,0.34,-9.98,-72.91,25.02,3.82,82802
